i_type,incident_with,date,details,riding_on,terrain,direction,turning,age,sex,longitude,latitude,X,Y
Near collision with moving object or vehicle,"Vehicle, head on",2014-11-04T20:00:00,"Vehicle with driver talking on cell phone entered intersection without looking, he had the stop sign and turned left to head south onto Woodland and nearly hit me head on - he immediately put his phone down.",,,,,,,-123.0734611,49.27145185,494656.1334,5457635.184
Near collision with moving object or vehicle,"Vehicle, side",2014-11-12T08:30:00,"Pickup truck ""buzzed"" me in the bike lane. It passed very close with 2 wheels in the bike line, and moved fully into the bike lane immediately in front of me, then moved back into the car lane before the curve. Driver was either distracted or malicious.",Busy street bike lane,Uphill,W,Heading straight,1982,M,-123.1105185,49.24441625,491956.03,5454632.912
Near collision with moving object or vehicle,"Vehicle, side",2014-11-12T09:00:00,"Westbound bike entered traffic calming circle heading straight on bike route, vehicle travelling south entered traffic circle with bike already in the circle and almost hit the bike from the side. Driver may not have seen bike due to sun angle or inattention.",Quiet street bike lane,Downhill,W,Heading straight,1982,M,-123.1461596,49.24749798,489362.5858,5454979.91
Near collision with moving object or vehicle,"Vehicle, angle",2014-11-18T08:30:00,Car started pulling out from parallel parking without checking mirror.  I yelled and he noticed and stopped and I was able to avoid the corner of his vehicle. ,"Quiet street, no bike facilities",Downhill,E,Heading straight,1977,M,-123.1517386,49.26900868,488961.3483,5457372.059
Near collision with moving object or vehicle,"Vehicle, side",2014-10-08T08:25:00,The usual case of drivers not watching out for cyclists. I was into the roundabout well before the car but the driver was oblivious to me. At the last second the driver hit the brakes hard. ,Quiet street bike lane,Uphill,S,Heading straight,,,-123.1054974,49.23749567,492320.4121,5453863.029
Near collision with moving object or vehicle,"Vehicle, rear end",2014-11-20T16:10:00,Bike lane on Homer Street moving North is a painted line lane with cars parked on the right. Incident involved near collision with a vehicle that was pulling out of parking without signalling or looking behind at traffic on bike lane. I managed to skid to a stop just in time.,Busy street bike lane,Flat,N,Heading straight,1972,M,-123.1223148,49.27587584,491103.1018,5458131.605
Near collision with moving object or vehicle,"Vehicle, side",2014-10-29T10:15:00,,"Busy street, no bike facilities",Flat,W,Heading straight,1952,F,-123.1112909,49.20708407,491893.7014,5450482.79
Near collision with moving object or vehicle,"Vehicle, head on",2014-11-20T20:35:00,,Cycle track,Downhill,S,Heading straight,1988,F,-123.1319118,49.27736675,490405.3316,5458298.524
Near collision with moving object or vehicle,Pedestrian,2014-11-10T07:05:00,Two young men came out from under the trees to the right of the corner and walked blindly in front of my bike.   I had to slide to stop,Quiet street bike lane,Downhill,NE,Turning right,1975,M,-123.1326199,49.2766633,490353.6901,5458220.411
Near collision with moving object or vehicle,"Vehicle, rear end",2014-11-26T18:00:00,"Motor vehicle backing out of parking lot, required short, then long honk, of my air horn, before stopping entering street.  As I passed, the same motorist resumed backing out in front of a cyclist, with lights, that was following me.  Other cyclist had to make evading manoeuvres.","Quiet street, no bike facilities",Flat,E,Heading straight,1963,M,-123.1398189,49.26263417,489827.1722,5456661.73
Near collision with moving object or vehicle,"Vehicle, angle",2014-12-01T08:55:00,"A eastbound vehicle turning left onto Clark drive northbound from Adenac street. The sun was just rising over the horizon and the driver did not see the cyclist and narrowly missed by inches after cyclist took evasive action.","Busy street, no bike facilities",Flat,W,Heading straight,1976,M,-123.0772269,49.27768173,494382.8992,5458328.036
Near collision with moving object or vehicle,"Vehicle, side",2014-10-07T08:30:00,Driver was looking west to turn east on a red light.  His vision slightly obscured by high grasses on south side of bike path. I aopproached from east on green light as he headed into the intesection to turn right on red intop my path.  Braked in time not to be hit.,Busy street bike lane,Flat,W,Heading straight,1950,M,-123.1155932,49.26606131,491590.3485,5457039.749
Near collision with moving object or vehicle,"Vehicle, side",2014-12-01T15:00:00,,,,,,,,-123.0668306,49.26246263,495137.5748,5456635.401
Near collision with moving object or vehicle,"Vehicle, head on",2014-11-25T18:20:00,"I was going straight and a car coming on the right almost hit me in the roundabout. The car didn't stop or slow down. Since I was going slowly I avoided the car by jumping in the middle of the roundabout. ","Quiet street, no bike facilities",Downhill,E,Heading straight,,,-123.2090735,49.26559574,484789.314,5457002.598
Near collision with moving object or vehicle,"Vehicle, head on",2014-11-05T08:35:00,A car ran a red light almost hit three cyclists ,"Quiet street, no bike facilities",Flat,W,Heading straight,,,-123.2425314,49.26292123,482354.2082,5456712.544
Near collision with moving object or vehicle,"Vehicle, head on",2014-10-26T15:30:00,A car on my right ran the stop sign and almost hit me. ,"Quiet street, no bike facilities",Uphill,S,Heading straight,,,-123.147946,49.26982425,489237.4321,5457462.179
Near collision with moving object or vehicle,Pedestrian,2014-12-15T17:00:00,Pedestrian didn't respect red light and crossed in front of me while I was trying to cross the intersection,"Busy street, no bike facilities",Flat,W,Heading straight,,,-123.1009215,49.26202153,492657.1452,5456589.116
Near collision with moving object or vehicle,"Vehicle, side",2014-12-12T18:00:00,a car approached the intersection very rapidly and we almost collide. he could not see me but until very last minute because there were cars parked very closed to the intersection but the car was moving really fast so he had to slam on breaks.,Quiet street bike lane,Flat,W,Heading straight,1969,M,-123.0736488,49.26139138,494641.386,5456516.77
Near collision with moving object or vehicle,"Vehicle, side",2014-12-31T15:00:00,"Car didn't respect stop sign and cross intersection as I was approaching. I think the car thought I also had to stop but I didn't, so I slammed on the breaks to prevent collision, but almost lost control of the bike",Busy street bike lane,Downhill,E,Heading straight,1969,M,-123.157382,49.27082881,488551.2271,5457575.244
Near collision with moving object or vehicle,"Vehicle, side",2014-04-03T08:20:00,An SUV veered into the bike lane in the S curve at Lost Lagoon and almost hit me.,Busy street bike lane,Flat,S,Heading straight,,,-123.136375,49.29580691,490084.3973,5460349.106
Near collision with moving object or vehicle,"Vehicle, angle",2015-01-21T08:00:00,"Aggressive driver, tail-gating the car ahead, blew by me and turned right in front of me onto 39th.  I was moving straight ahead on the designated bike route Willow to 37th to Heather.  Encountered same driver again on 37th  parking their car.  Was verbally harassed and threatened with assault.",Quiet street bike lane,Flat,N,Heading straight,,F,-123.1238008,49.23564628,490987.6963,5453659.454
Near collision with moving object or vehicle,"Vehicle, angle",2015-02-04T08:45:00,Car turned right into alley across separated bike lane without looking for bike in either direction. Slid sideways but landed upright in-front of car don the alley way.,Cycle track,Downhill,NW,Heading straight,1983,M,-123.1158614,49.28334394,491573.7792,5458961.098
Near collision with moving object or vehicle,"Vehicle, side",2015-02-13T08:00:00,Repeat encounter with aggressive driver.  She came up beside me and swerved her car towards me as she passed.  I have been verbally threatened by this driver in the past and recognized the car and license plate.  I will be reporting this one to the police.,Quiet street bike lane,Flat,N,Heading straight,,,-123.1207216,49.23930296,491212.4993,5454065.603
Near collision with moving object or vehicle,"Vehicle, side",2015-03-02T08:45:00,"Riding on the Hornby St. bike lane heading North, coming from Pacific Blvd, & crossing intersection at Drake St.Dedicated cyclist & vehicle traffic light were green. Two vehicles turned right onto Drake St from Hornby St.without shoulder checking and nearly missed 5 cyclists on bike lane.",Cycle track,Flat,N,Heading straight,1983,M,-123.1297284,49.27733176,490564.1296,5458294.358
Near collision with moving object or vehicle,"Vehicle, side",2015-03-04T08:25:00,I was riding east on 45th. I hand signaled and was turning left onto Joyce. A car behind me sped up heading east and  swerved around me to pass on my left in the intersection. It almost almost hit me. Another cyclist witnessed it and also couldn't believe it. ,"Busy street, no bike facilities",Flat,E,Turning left,,F,-123.0374444,49.22928148,497273.8189,5452945.177
Near collision with moving object or vehicle,"Vehicle, side",2015-03-04T09:45:00,"Car seemed hesitant to yield to cyclist in  round-about who was hand signalling an exit.. eye contact was made with driver who did stop. After, the vehicle passed extremely close to cyclist and swerving to the right, nearly colliding.",Busy street bike lane,Uphill,NW,Heading straight,1982,M,-123.2411742,49.25431912,482449.9035,5455755.93
Near collision with stationary object or vehicle,"Vehicle, open door",2015-03-13T17:15:00,Frequent vehicles parked in the separated bike line picking up/dropping off passengers for the Canada Line station. This happens every day and all the time. Hardly any room to bike between the vehicles and gain access to the physically separated bike lane. Car door and pedestrian hazards.,Cycle track,Uphill,N,Heading straight,,,-123.1170952,49.20929199,491471.3029,5450728.882
Near collision with moving object or vehicle,"Vehicle, side",2015-03-25T17:35:00,"Approached 49th and was prepared to turn left.  Waited for the next car to pass me then shoulder checked.  Saw enough space to proceed, extended my arm and started moving into the left turn lane. The truck honked and tried to pass me in lane. He squeezed me off the road. License plate BC JD5022.","Busy street, no bike facilities",Uphill,W,Turning left,1983,M,-123.1725526,49.22774357,487436.7146,5452787.866
Near collision with stationary object or vehicle,"Vehicle, open door",2015-03-23T17:20:00,Another of many frequent cars pickingup or dropping off pedestrians for the Canada Line parked in the bike lane and blocking access to the separated bike lane.,Busy street bike lane,Uphill,N,Heading straight,,,-123.1170952,49.20908872,491471.268,5450706.285
Near collision with moving object or vehicle,"Vehicle, angle",2015-04-08T07:40:00,Cut off by van making left turn into alley without looking up the road. This is a steep section of hill making it tricky to stop. ,"Quiet street, no bike facilities",Downhill,N,Heading straight,,,-123.0365109,49.2350298,497342.0853,5453584.184
Near collision with moving object or vehicle,"Vehicle, angle",2015-02-01T10:50:00,"A vehicle heading westbound turned left illegally from 10th. I swerved to avoid collision and fell, resulting in a partial dislocation of my shoulder and some general scrapes and bruises.The driver drove away while I was picking myself up and walking out of the intersection.","Busy street, no bike facilities",Flat,E,Heading straight,1987,M,-123.1529725,49.26290373,488870.2179,5456693.551
Near collision with moving object or vehicle,"Vehicle, side",2015-04-08T08:30:00,,"Quiet street, no bike facilities",Flat,NW,Heading straight,,,-123.1197077,49.27311089,491292.2501,5457823.92
Near collision with moving object or vehicle,Another cyclist,2015-04-09T09:05:00,"Another cyclist emerged from an alley and crossed in front of me, without looking, slowing or checking for checking for traffic.","Quiet street, no bike facilities",Flat,N,Heading straight,1961,M,-123.0493212,49.28341217,496413.0374,5458963.394
Near collision with moving object or vehicle,"Vehicle, side",2015-03-06T17:15:00,,"Quiet street, no bike facilities",Downhill,N,Heading straight,1986,F,-123.0495894,49.25406702,496391.391,5455701.093
Near collision with moving object or vehicle,"Vehicle, head on",2014-09-18T15:00:00,"Travelling on sidewalk portion of bikepath connecting Hastings/Cassiar w 11yr old. Car travelling south on Cassiar, intending to shortcut by illegal turn onto Hastings did not see child on bike approaching roadway. Child did not realize driver might be so stupid and was not looking out. Near miss",Sidewalk,Flat,NE,Heading straight,,,-123.0308247,49.28161875,497758.1451,5458763.304
Near collision with moving object or vehicle,"Vehicle, head on",2015-03-26T22:15:00,Car was waiting at a stop sign (seemed to be using their phone) for over 30 seconds as I rode up (with right of way). Right as I approached the intersection they all of a sudden decided to go through the intersection without first looking and I had to slam on my brakes to not hit it.,Quiet street bike lane,Flat,S,Heading straight,1984,M,-123.1127071,49.25204317,491797.9926,5455481.032
Near collision with moving object or vehicle,"Vehicle, angle",2015-05-06T08:25:00,The car cut me off.  We both were turning right.  The car should be forced to make a wider turn with a physical separation.,Busy street bike lane,Downhill,NE,Turning right,1979,M,-123.117384,49.2658577,491460.0273,5457017.314
Near collision with stationary object or vehicle,"Vehicle, open door",2015-05-11T07:00:00,A passenger in a car stop at some traffic lights opened their door into the unmarked bike lane. I hit the brakes and narrowly avoided a collision.,"Busy street, no bike facilities",Flat,E,Heading straight,,,-123.1187099,49.28700058,491367.2552,5459367.931
Near collision with moving object or vehicle,"Vehicle, side",2015-05-17T15:40:00,Stopped at red light (cycling Northbound on Heather waiting to cross Broadway). Light turned green & I entered the intersection going straight. SUV which had been stopped behind me at the light passed me in the intersection & narrowly missed side swiping me while doing so as there was oncoming traff,"Quiet street, no bike facilities",Downhill,N,Heading straight,1983,M,-123.119874,49.26331682,491278.4271,5456735.128
Near collision with moving object or vehicle,"Vehicle, angle",2015-05-18T09:05:00,Car parallel parking failed to see cyclist coming behind. ,"Busy street, no bike facilities",Flat,W,Heading straight,1976,F,-123.1207967,49.26239262,491211.1323,5456632.491
Near collision with moving object or vehicle,"Vehicle, side",2015-06-11T18:45:00,,Quiet street bike lane,Flat,W,Heading straight,1977,M,-123.151803,49.23077029,488948.1331,5453121.106
Near collision with moving object or vehicle,"Vehicle, angle",2015-05-25T08:30:00,"Going through intersection -- no light for Adanac street, but walk signal was flashing. I thought I had made eye contact with truck driver who was turning left and that he had seen me but I guess not. He turned left into my path but saw me at the last minute and jammed his brakes.",Quiet street bike lane,Flat,W,Heading straight,1972,F,-123.0565524,49.27750674,495886.6429,5458307.252
Near collision with moving object or vehicle,"Vehicle, head on",2015-05-20T14:15:00,"In the half block before the stop sign to get onto king Ed, I (with my kids in the bike trailer) got cut off and nearly wedged between the back of the van and the parked car. If I was a car he would not have tried to go around me.",Quiet street bike lane,Flat,S,Heading straight,1983,F,-123.112793,49.24918584,491791.2727,5455163.392
Near collision with moving object or vehicle,"Vehicle, side",2015-05-25T08:00:00,,,,,,,,-123.0780959,49.20660742,494311.532,5450426.776
Near collision with moving object or vehicle,"Vehicle, head on",2016-01-29T17:45:00,"Driver stopped at stop sign and started accelerating through as i entered the intersection, nearly hitting me.",Cycle track,Downhill,W,Heading straight,1991,F,-123.1464133,49.27153036,489349.2973,5457651.631
Near collision with moving object or vehicle,"Vehicle, rear end",2015-02-21T09:45:00,"Driver was heading eastbound on Point Grey Rd toward Alma, and turned left across bike lane.  I had to hit brakes hard to avoid running into the vehicle.",Cycle track,Flat,E,Heading straight,1979,M,-123.1855774,49.27227088,486500.5453,5457740.212
Near collision with moving object or vehicle,"Vehicle, head on",2015-05-13T09:30:00,"Car was speeding & about to enter roundabout heading south on Heather but was in the centre of the road as I was rounding right from 20th not leaving much room for cars or bikes to turn. Road was wet, skidded to a stop to avoid collision with the car. Back of ankle cut and bleeding from chainwheel. ","Quiet street, no bike facilities",Flat,N,Turning right,,,-123.1202066,49.25345077,491252.4854,5455638.355
Near collision with stationary object or vehicle,"Vehicle, open door",2015-06-02T19:00:00,"Car passed my bike, then came to a stop at the end of the cul de sec, blocking the bike path that flows through it. Passenger opened door into me as I slowly passed",Busy street bike lane,Flat,,Heading straight,1986,M,-123.0877161,49.27744958,493619.9347,5458303.06
Near collision with moving object or vehicle,"Vehicle, head on",2015-06-08T13:20:00,I was nearly hit by a car that was speeding and swerved about five feet as they got close to me.   Missed me by less than a foot. If I had not pulled over to the edge I would have been hit.,Quiet street bike lane,Flat,W,Heading straight,1976,M,-123.1774235,49.23861648,487084.9076,5453997.424
Near collision with moving object or vehicle,"Vehicle, head on",2015-06-15T10:30:00,"Speeding BMW turned onto W 5th (heading eastward) and crossed into my lane as I cycled west, nearing the intersection. He passed within half a meter.","Quiet street, no bike facilities",Flat,E,Heading straight,1958,F,-123.1437349,49.26892467,489543.5828,5457361.582
Near collision with moving object or vehicle,"Vehicle, side",2015-06-15T17:30:00,"dangerous uncontrolled intersection at victoria and union. i was traveling eastbound with a child on a bike beside me and one car was stopped southbound on victoria, but another car came whizzing through northbound as we intended to cross.  this intersection desparately needs a control.","Quiet street, no bike facilities",Flat,E,Heading straight,1976,F,-123.0565739,49.27757674,495885.088,5458315.034
Near collision with moving object or vehicle,"Vehicle, side",2015-06-16T07:40:00,"A white van stopped alongside me at the light and attempted to pass me on the right when the light turned green. He failed to do so, changed over to the left side and passed < 1 ft on my left. He intentionally endangered my life while breaking the law.","Busy street, no bike facilities",Flat,E,Heading straight,1986,M,-123.0422777,49.24454583,496922.8702,5454642.298
Near collision with moving object or vehicle,"Vehicle, angle",2015-06-02T07:00:00,I was entering the intersection on a green light for bikes going along Cornwall crossing Burrard St. There was a red light for vehicles turning right but a small pickup truck ran the red and turned right in front of me. I managed to swerve and stop but it was really close. ,Busy street bike lane,Flat,NW,Heading straight,1980,F,-123.1455427,49.27227438,489412.7853,5457734.222
Near collision with moving object or vehicle,"Vehicle, side",2015-06-17T09:25:00,Vehicle turning North (right) from Dunsmuir onto Burrard cut from vehicle lane into bike lane and turned without looking to see if any cyclist's in bike lane,,,,,,,-123.1192088,49.28553446,491330.7181,5459204.998
Near collision with moving object or vehicle,"Vehicle, side",2015-06-17T09:25:00,Vehicle turning North (right) from Dunsmuir onto Burrard cut from vehicle lane into bike lane and turned without looking to see if any cyclist's in bike lane,,,,,,,-123.1192088,49.28553446,491330.7181,5459204.998
Near collision with moving object or vehicle,"Vehicle, head on",2015-06-10T16:15:00,Cars turning left east bound do not see cyclists coming west bound with right of way. Multiple occasions.,,,,,,,-123.1159102,49.24513985,491563.7178,5454713.942
Near collision with moving object or vehicle,"Vehicle, head on",2014-07-22T15:00:00,We were bicycling along the path and just as we went over a small wooden bridge another bicyclist came at high speeds around the corner and nearly collided with us head-on. It is a blind corner.,Mixed use trail,Flat,SW,Turning left,1984,M,-123.2293564,49.26228409,483312.5632,5456638.721
Near collision with moving object or vehicle,"Vehicle, angle",2015-06-19T17:05:00,"I was on Hudson, about to turn left onto 71st; I was well outside the door lane but not in the middle of the lane. I shoulder checked, noticed a car behind me at a safe distance. I signalled left, shoulder checked again, and moved. Driver sped up, passed very close on the left, yelling obscenties.","Quiet street, no bike facilities",Flat,N,Turning left,1965,F,-123.1347227,49.20681771,490186.9064,5450455.955
Near collision with moving object or vehicle,"Vehicle, side",2015-06-10T14:25:00,"After crossing 29th at the pedestrian crossing to continue to the multi-use pathway down to Nanaimo St., a string of cars coming down the hill (northbound) proceeded through the green light at over 65km/h. The front driver did not see me and narrowly missed me on my left. Traffic calming needed.",,,N,,,,-123.0496538,49.24505362,496386.0487,5454699.076
Near collision with moving object or vehicle,"Vehicle, side",2015-05-05T14:25:00,"Proceeding up Cambie bike lane, a giant dump truck parked in front of me blocking the whole bike lane. When I passed the truck on its left, another dump truck roared past me on my left and almost clipped me.",Busy street bike lane,Uphill,N,,,,-123.1166983,49.22023202,491502.0918,5451945.034
Near collision with stationary object or vehicle,"Vehicle, open door",2015-06-22T13:50:00,,,,,,,,-123.1234789,49.28288203,491019.7016,5458910.624
Near collision with moving object or vehicle,"Vehicle, angle",2015-06-22T16:05:00,,,,,,,,-123.1237364,49.28177622,491000.7737,5458787.721
Near collision with moving object or vehicle,"Vehicle, side",2015-06-22T14:20:00,"I was headed east on 10th (bike route) through the cambie intersection, and a car headed north on cambie aimed to make a right turn on 10th without seeing me. i had to slam on breaks but there was no collision. ","Quiet street, no bike facilities",Flat,E,Heading straight,1976,F,-123.1149065,49.26223858,491639.6576,5456614.698
Near collision with moving object or vehicle,Another cyclist,2015-06-25T06:20:00,"Intersection is a traffic circle.  Other cyclist turned left at the intersection to change from E to N (the same direction as me), but took a shortcut and went the wrong way around the circle.  He didn't see me as I went straight through the intersection and would have hit me if I hadn't called out.","Quiet street, no bike facilities",Flat,N,Heading straight,1971,M,-123.0736756,49.26055116,494639.3434,5456423.365
Near collision with moving object or vehicle,"Vehicle, side",2015-06-25T15:00:00,"riding on union bikeway through main and a car heading south on main stoped at light and then contined through (on red) nearly hitting 4 bikes crossing in intersection at that time. She was alerted by yelling but looked very surprised that bikes were crossing the intersection (with right of way)","Busy street, no bike facilities",Flat,W,Heading straight,1977,F,-123.0996609,49.27778672,492751.1769,5458341.618
Near collision with moving object or vehicle,"Vehicle, side",2014-06-25T17:10:00,"Driver was stopped at their stop sign for cars ahead of me. When cars ahead of me completed going through intersection, driver accelerated through intersection, despite cyclist right of way. I fell off bike to avoid t-boning the pickup truck. Driver did not stop. ",Quiet street bike lane,Flat,W,Heading straight,1973,F,-123.0735898,49.26497964,494646.0676,5456915.674
Near collision with moving object or vehicle,"Vehicle, rear end",2011-07-07T08:00:00,"Waiting in lane to go straight at entry to two-lane roundabout.  SUV, plate 122 SCV was waiting behind me as well in the queue. Hear screetch of tires behind me, SUV forgot I was there, then gunned it then slammed on the brakes, missing by only millimetres.","Busy street, no bike facilities",Flat,W,Heading straight,1982,M,-123.2359439,49.25594373,482831.0729,5455935.337
Near collision with stationary object or vehicle,"Vehicle, side",2011-04-21T08:20:00,"I had waited in the queue to enter the roundabout, then once in it, car driver behind me objected to me riding a bike in the roundabout. Sounded horn, did a barely missing threatining sideswipe attempt while yelling obscenities then speeding off.","Busy street, no bike facilities",Flat,W,Heading straight,1982,M,-123.2363194,49.25592622,482803.7422,5455933.476
Near collision with moving object or vehicle,"Vehicle, side",2012-12-27T08:15:00,"Proceeding straight through the roundabout, a car from the right entered at high speed without checking for existing traffic.  I braked just in time to avoid hitting their side.","Busy street, no bike facilities",Flat,W,Heading straight,1982,M,-123.236593,49.25590521,482783.8269,5455931.203
Near collision with moving object or vehicle,"Vehicle, rear end",2015-07-06T17:30:00,"car (from washington) looking to parallel park, cut me off, then stopped suddenly and backed up toward me. failed to see me - several poor moves in the process of trying to park. I had to slam on brakes, stop, and use my voice to alert that i was there. ","Busy street, no bike facilities",Flat,E,Heading straight,1979,F,-123.1041992,49.28047442,492421.4962,5458640.856
Near collision with stationary object or vehicle,"Vehicle, rear end",2015-06-16T17:20:00,"Stopped to politely ask driver parked illegally in bike lane to move as they were completely blocking the bike lane, forcing me to bike in the traffic/bus lane. Was aggressively berated by the passenger who also threw an empty water bottle at me out the open driver window. ",Cycle track,Flat,N,Heading straight,1986,F,-123.1170845,49.20931302,491472.088,5450731.218
Near collision with moving object or vehicle,"Vehicle, head on",2015-07-03T16:10:00,At 29th and Cambie heading East on 29th. Car heading west on 29th turned left in front of me. I was going straight and had the right of way. Had to hit brakes to avoid collision ,Busy street bike lane,Flat,E,Heading straight,,,-123.1153893,49.24525499,491601.6496,5454726.684
Near collision with moving object or vehicle,"Vehicle, side",2015-07-13T08:05:00,car speeding north on vernon; came faster then expected as i was pulling out from stop sign on adanac bike route headed east,"Quiet street, no bike facilities",Flat,E,Turning left,1976,F,-123.0793405,49.27735275,494229.1294,5458291.623
Near collision with moving object or vehicle,"Vehicle, side",2015-07-15T18:30:00,I was heading on bike lane coming to intersection of Carrall @Keefer St. My view of the traffic signal was obscured due to vegetation but it had been green. As I approached intersection to go straight across a vehicle turned right into keefer place and across my path. I had to put on brakes and serve a little too avoid collision.,Cycle track,Flat,S,Heading straight,1977,F,-123.1044681,49.27924157,492401.7493,5458503.827
Near collision with moving object or vehicle,"Vehicle, side",2015-05-12T08:25:00,"There was and always is ALOT of confusion at this intersection. The driver in the oncoming street decided to turn out of order ahead of me, he nearly ran into me.",Cycle track,Flat,W,Heading straight,1987,M,-123.065908,49.26136337,495204.6001,5456513.137
Near collision with moving object or vehicle,"Vehicle, rear end",2015-08-06T08:15:00,,,,,,,,-123.1412673,49.2705908,489723.4439,5457546.468
